Contract Name,Date,Time,Open Price,Close Price,High Price,Low Price,Volume,Turnover,Change Rate,Last Close Price
US.IBM210625C90000,2021-05-28,2021-05-28 00:00:00,54.15,54.15,54.15,54.15,1,5415.0,0.0,54.15
US.IBM210625C90000,2021-06-01,2021-06-01 00:00:00,53.69,53.69,53.69,53.69,1,5369.0,-0.8494921514312113,54.15
US.IBM210625C90000,2021-06-02,2021-06-02 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-03,2021-06-03 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-04,2021-06-04 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-07,2021-06-07 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-08,2021-06-08 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-09,2021-06-09 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-10,2021-06-10 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-11,2021-06-11 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-14,2021-06-14 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-15,2021-06-15 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-16,2021-06-16 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-17,2021-06-17 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-18,2021-06-18 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-21,2021-06-21 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-22,2021-06-22 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-23,2021-06-23 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-24,2021-06-24 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C90000,2021-06-25,2021-06-25 00:00:00,53.69,53.69,53.69,53.69,0,0.0,0.0,53.69
US.IBM210625C95000,2021-06-02,2021-06-02 00:00:00,49.81,49.91,49.91,49.81,2,9972.0,0.20076289901625036,49.81
US.IBM210625C95000,2021-06-03,2021-06-03 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
US.IBM210625C95000,2021-06-04,2021-06-04 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
US.IBM210625C95000,2021-06-07,2021-06-07 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
US.IBM210625C95000,2021-06-08,2021-06-08 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
US.IBM210625C95000,2021-06-09,2021-06-09 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
US.IBM210625C95000,2021-06-10,2021-06-10 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
US.IBM210625C95000,2021-06-11,2021-06-11 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
US.IBM210625C95000,2021-06-14,2021-06-14 00:00:00,49.91,49.91,49.91,49.91,0,0.0,0.0,49.91
